age,workclass,Income,eductation,education-num,marital_status,occupation,relationship,gender,hrs_per_week,state,doj
39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Male,40,UP,02-06-2001
50, Govt,83311, Bachelors,13, Married, Exec-managerial, Husband, Male,13,AP,10-04-1996
38, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, Male,40,TN,23-06-2002
53, Private,234721, 11th,7, Married, Handlers-cleaners, Husband, Male,40,HP,16-12-2008
28, Private,338409, Bachelors,13, Married, Prof-specialty, Wife, Female,40,MP,31-05-1995
37, Private,284582, Masters,14, Married, Exec-managerial, Wife, Female,40,ND,10-03-1997
49, Private,160187, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Female,16,UP,03-07-2007
52, Govt,209642, HS-grad,9, Married, Exec-managerial, Husband, Male,45,UP,18-09-2000
31, Private,45781, Masters,14, Never-married, Prof-specialty, Not-in-family, Female,50,TN,05-05-2010
42, Private,159449, Bachelors,13, Married, Exec-managerial, Husband, Male,40,HP,22-09-2010
37, Private,280464, Some-college,10, Married, Exec-managerial, Husband, Male,80,MP,10-04-2009
30, Govt,141297, Bachelors,13, Married, Prof-specialty, Husband, Male,40,ND,27-10-2005
23, Private,122272, Bachelors,13, Never-married, Adm-clerical, Own-child, Female,30,UP,12-03-1996
32, Private,205019, Assoc-acdm,12, Never-married, Sales, Not-in-family, Male,50,TN,27-11-2012
40, Private,121772, Assoc-voc,11, Married, Craft-repair, Husband, Male,40,HP,16-08-1999
34, Private,245487, 7th-8th,4, Married, Transport-moving, Husband, Male,45,MP,15-05-2000
25, Govt,176756, HS-grad,9, Never-married, Farming-fishing, Own-child, Male,35,ND,10-08-1999
32, Private,186824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Male,40,UP,08-07-2007
38, Private,28887, 11th,7, Married, Sales, Husband, Male,50,HP,11-12-2010
43, Govt,292175, Masters,14, Divorced, Exec-managerial, Unmarried, Female,45,MP,04-11-2010
40, Private,193524, Doctorate,16, Married, Prof-specialty, Husband, Male,60,ND,24-11-1996
54, Private,302146, HS-grad,9, Separated, Other-service, Unmarried, Female,20,UP,10-08-2002
35, Govt,76845, 9th,5, Married, Farming-fishing, Husband, Male,40,MP,02-11-2003
43, Private,117037, 11th,7, Married, Transport-moving, Husband, Male,40,UP,13-04-2013
59, Private,109015, HS-grad,9, Divorced, Tech-support, Unmarried, Female,40,MP,07-11-2013
56, Local-gov,216851, Bachelors,13, Married, Tech-support, Husband, Male,40,MP,28-06-2003
19, Private,168294, HS-grad,9, Never-married, Craft-repair, Own-child, Male,40,TN,16-12-2003
54,Private,180211, Some-college,10, Married, Sales, Husband, Male,60,TN,05-07-2014
39, Private,367260, HS-grad,9, Divorced, Exec-managerial, Not-in-family, Male,80,TN,28-01-2013
49, Private,193366, HS-grad,9, Married, Craft-repair, Husband, Male,40,HP,10-04-2014
23, Local-gov,190709, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, Male,52,MP,30-04-2005
20, Private,266015, Some-college,10, Never-married, Sales, Own-child, Male,44,ND,04-12-1999
45, Private,386940, Bachelors,13, Divorced, Exec-managerial, Own-child, Male,40,UP,02-11-1998
30, Govt,59951, Some-college,10, Married, Adm-clerical, Own-child, Male,40,ND,22-03-2003
22, State-gov,311512, Some-college,10, Married, Other-service, Husband, Male,15,UP,02-07-2010
48, Private,242406, 11th,7, Never-married, Machine-op-inspct, Unmarried, Male,40,MP,02-05-2006
21, Private,197200, Some-college,10, Never-married, Machine-op-inspct, Own-child, Male,40,UP,12-02-2002
19, Private,544091, HS-grad,9, Divorced, Adm-clerical, Wife, Female,25,MP,17-09-1997
31, Private,84154, Some-college,10, Married, Sales, Husband, Male,38,MP,14-01-2002
48, Govt,265477, Assoc-acdm,12, Married, Prof-specialty, Husband, Male,40,HP,11-08-2004
31, Private,507875, 9th,5, Married, Machine-op-inspct, Husband, Male,43,TN,03-07-2007
53, Govt,88506, Bachelors,13, Married, Prof-specialty, Husband, Male,40,HP,18-07-2009
24, Private,172987, Bachelors,13, Married, Tech-support, Husband, Male,50,MP,26-01-2004
49, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, Female,40,ND,07-03-1999
25, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Male,35,UP,11-03-2005
57, Govt,337895, Bachelors,13, Married, Prof-specialty, Husband, Male,40,HP,19-08-2013
53, Private,144361, HS-grad,9, Married, Machine-op-inspct, Husband, Male,38,MP,20-07-2007
44, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried, Female,40,ND,26-08-2005
41, State-gov,101603, Assoc-voc,11, Married, Craft-repair, Husband, Male,40,UP,15-10-1995
29, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, Male,43,MP,17-05-1998
